1_1,615450
1_1,6923163
1_1,1377815
1_1,3248624
1_1,8831624
1_1,531314
1_1,7929493
1_1,54126
1_1,7514660
1_1,5748491
1_2,7531951
1_2,3033427
1_2,5436140
1_2,2329378
1_2,2263085
1_2,3032705
1_2,3033432
1_2,2329380
1_2,3033433
1_2,3033425
1_3,5668364
1_3,5848344
1_3,3167376
1_3,5848350
1_3,3167379
1_3,4448466
1_3,3167378
1_3,5206892
1_3,7517448
1_3,5848346
1_4,6715377
1_4,4881319
1_4,4383899
1_4,6423534
1_4,6049426
1_4,6503775
1_4,6193184
1_4,4161655
1_4,5948550
1_4,4383895
1_5,5606022
1_5,5748488
1_5,567617
1_5,5756913
1_5,5848352
1_5,5748485
1_5,6704132
1_5,228861
1_5,3167379
1_5,6406907
1_6,8451069
1_6,8451072
1_6,7551004
1_6,3594178
1_6,7062283
1_6,1772560
1_6,773491
1_6,4910750
1_6,4667294
1_6,6977102
1_7,4111419
1_7,3205619
1_7,4111421
1_7,6831357
1_7,849265
1_7,8405820
1_7,1244401
1_7,2856892
1_7,3247999
1_7,938252
1_8,7514660
1_8,615450
1_8,7929493
1_8,3984227
1_8,615448
1_8,5163974
1_8,1019702
1_8,955947
1_8,6311185
1_8,3600883
1_9,4117645
1_9,7304450
1_9,4111419
1_9,4111421
1_9,6423534
1_9,4161656
1_9,2331428
1_9,849268
1_9,5171479
1_9,8700038
1_10,5163974
1_10,1019702
1_10,4097912
1_10,615448
1_10,4097915
1_10,3600883
1_10,6607047
1_10,6311185
1_10,5697669
1_10,7514652
1_11,3973519
1_11,6173110
1_11,1908376
1_11,231545
1_11,5334391
1_11,6816114
1_11,8006624
1_11,2128638
1_11,6311184
1_11,5987526
1_12,8508252
1_12,3825762
1_12,5765296
1_12,3279006
1_12,2109381
1_12,3670863
1_12,846336
1_12,6232988
1_12,4376627
1_12,6270307
2_1,8575706
2_1,8575711
2_1,5871538
2_1,5023594
2_1,1632364
2_1,5376128
2_1,7698272
2_1,2782471
2_1,4369683
2_1,4681723
2_2,2533084
2_2,5815763
2_2,3449244
2_2,3449246
2_2,3307025
2_2,3907236
2_2,2533083
2_2,2533087
2_2,1632364
2_2,2533085
2_3,2533084
2_3,3307030
2_3,5815763
2_3,2533087
2_3,1632364
2_3,2533086
2_3,3449244
2_3,4011982
2_3,3449246
2_3,3307025
2_4,1632360
2_4,1586170
2_4,1632358
2_4,1632366
2_4,2402228
2_4,1632361
2_4,1632362
2_4,1632363
2_4,5829852
2_4,1188047
2_5,2533084
2_5,5815763
2_5,3449244
2_5,3307025
2_5,2533087
2_5,4011982
2_5,3307027
2_5,3307030
2_5,2533086
2_5,2533085
2_6,5325510
2_6,1586175
2_6,1103160
2_6,3681997
2_6,1379422
2_6,1379423
2_6,1379421
2_6,5325509
2_6,5023593
2_6,1379424
2_7,2954402
2_7,1009387
2_7,5976576
2_7,2674106
2_7,3120220
2_7,2402228
2_7,1009381
2_7,5787228
2_7,5142933
2_7,1457066
2_8,3120220
2_8,5142933
2_8,10288
2_8,1009387
2_8,2508462
2_8,2402228
2_8,8761994
2_8,2674106
2_8,7096262
2_8,3120224
2_9,7071258
2_9,7344964
2_9,192281
2_9,8315116
2_9,8315117
2_9,4129296
2_9,3941311
2_9,2782475
2_9,49114
2_9,2030862
2_10,3223202
2_10,8249980
2_10,12697
2_10,3223206
2_10,7150125
2_10,5448925
2_10,6499068
2_10,6337336
2_10,5611292
